Cluster,feature,term,df,sumsq,meansq,statistic,p.value,p.adjusted
C6,cluster_fraction_total_CD19+,CodeID,20,0.005865192091976836,2.932596045988418e-4,5.898241646753058,4.101658073445304e-11,1.0699977582900793e-10
C6,cluster_fraction_total_CD19+,Residuals,146,0.007259095987530583,4.971983553103139e-5,NA,NA,NA
C6,RBD+S1+_fraction,timepoint,9,0.01148931646979327,0.0012765907188659188,2.3723501549573998,0.015616807705372915,0.0718373154447154
C6,RBD+S1+_fraction,CodeID,20,0.009094438774126065,4.547219387063033e-4,0.8450317285016473,0.6557595409837249,0.7696665374664515
C6,RBD+S1+_fraction,Residuals,146,0.07856439091208735,5.381122665211462e-4,NA,NA,NA
C7,cluster_fraction_total_CD19+,timepoint,9,9.622677621972682e-4,1.0691864024414092e-4,3.687217091695396,3.4415958679576646e-4,5.899878630784567e-4
C7,cluster_fraction_total_CD19+,CodeID,20,0.007800691422897267,3.900345711448633e-4,13.450808332331308,4.079270378697105e-24,1.4397424865989784e-23
C7,cluster_fraction_total_CD19+,Residuals,147,0.004262575195609641,2.8997110174215244e-5,NA,NA,NA
C7,RBD+S1+_fraction,timepoint,9,9.704388763804076e-5,1.078265418200453e-5,2.250622253854322,0.021845442355825213,0.09135366803345088
C7,RBD+S1+_fraction,CodeID,20,1.0943669449495761e-4,5.47183472474788e-6,1.142115178049883,0.31393628530617657,0.6361202595529182
C7,RBD+S1+_fraction,Residuals,147,7.042719683590504e-4,4.790965771150003e-6,NA,NA,NA
